judgeId,problemId,problemName,sourceCode
2158858,2707,Jail,"n,k=map(int,input().split())
a=0
for _ in range(n-1):a+=a//(k-1)+1
print(a)"
3732094,2707,Jail,"N,K = map(int, input().split())
ans = 1
for _ in range(N-1):
    ans += (ans+K-2)//(K-1)
print(ans-1)"
3734350,2707,Jail,"n, k = map(int,input().split())
now = 0
while n > 1:
    n -= 1
    now = (now * k) // (k - 1) + 1
print(now)"
4869482,2707,Jail,"n,k = list(map(int,input().split()))
val = 0
for i in range(n - 1):
    val += 1 + val// (k - 1)
print(val)"
2242808,2707,Jail,"n, k = map(int, input().split())
a = 0
for i in range(n-1):
    a = a * k // (k - 1) + 1
print(a)"
5790081,2707,Jail,"N, k = map(int, input().split())
ans = 0
for _ in range(N - 1):
    q = ans // (k - 1)
    ans += (q + 1)
print(ans)"
6065610,2707,Jail,"n, k = map(int, input().split())
i = 0
for _ in range(n - 1):
    i = i + 1 + i // (k - 1)
print(i)"
2971422,2707,Jail,"import math,string,itertools,fractions,heapq,collections,re,array,bisect,sys,random,time,copy,functools
sys.setrecursionlimit(10**7)
inf = 10**20
eps = 1.0 / 10**10
mod = 10**9+7
dd = [(0,-1),(1,0),(0,1),(-1,0)]
ddn = [(0,-1),(1,-1),(1,0),(1,1),(0,1),(-1,-1),(-1,0),(-1,1)]
def LI(): return [int(x) for x in sys.stdin.readline().split()]
def LI_(): return [int(x)-1 for x in sys.stdin.readline().split()]
def LF(): return [float(x) for x in sys.stdin.readline().split()]
def LS(): return sys.stdin.readline().split()
def I(): return int(sys.stdin.readline())
def F(): return float(sys.stdin.readline())
def S(): return input()
def pf(s): return print(s, flush=True)
def main():
    n,k = LI()
    t = 0
    for _ in range(n-1):
        t = t * k // (k-1) + 1
    return t
print(main())"
6008456,2707,Jail,"n,k = map(int,input().split())
ans = 0
flag = True
if n == 1:
    print(0)
    flag = False
for i in range(n-1):
    shou=ans//(k-1)
    ans+=shou+1
if flag:
    print(ans)"
2652356,2707,Jail,"def horizontal_input(T=str):
    return list(map(T,input().split()))
def vertical_input(n,T=str,sep=False,septype=tuple):
    data=[]
    if sep:
        for i in range(n):
            data.append(septype(map(T,input().split())))
    else:
        for i in range(n):
            data.append(T(input()))
    return data
n,k=horizontal_input(int)
prisoner=0
for i in range(n-1):
    prisoner+=1
    prisoner+=(prisoner-1)//(k-1)
print(prisoner)"
2027215,2707,Jail,"def main(N,k):
    p = 0
    p2 = 0
    memo = 0
    for i in range(N-1):
        p, p2 = p2, k*(p2+1)//(k-1) - 2
        while p2-1-p2//k != p:
            p2+=1
    return p2
if __name__ == '__main__':
    N,k=input().split()
    print(main(int(N),int(k)))"
3987731,2707,Jail,"from math import floor
N, k = map(int, input().split())
l, r = -1, 10**18
while l+1 < r:
    m = (l+r) >> 1
    x = m
    for i in range(1, N):
        x -= x // k + 1
    if 0 <= x:
        r = m
    else:
        l = m
print(r)"
4972637,2707,Jail,"n, k = map(int, input().split())
if k == 1:
    print(0)
elif n <= k-1:
    print(n-1)
else:
    ok, ng = 10**18, -1
    while ok - ng > 1:
        mid = (ok + ng) // 2
        tmp = mid
        for _ in range(n-1):
            tmp = tmp - (tmp // k) - 1
        if tmp < 0:
            ng = mid
        else:
            ok = mid
    print(ok)"
